(43.032170, 131.888947),
(43.032170, 131.888947),
(43.030672, 131.886265),
(43.033213, 131.887295),
(43.032170, 131.888947),
(43.030547, 131.888078),
(43.033253, 131.889419),
(43.032170, 131.888947),
(43.032170, 131.888947),
(43.033213, 131.887295),
(43.030672, 131.886265),
(43.024288, 131.892595),
(43.033253, 131.889419),
(43.030672, 131.886265),
(43.030547, 131.888078),
(43.030547, 131.888078),
(43.032170, 131.888947),
(43.024116, 131.894655),
(43.033213, 131.887295),
(43.030547, 131.888078),
(43.033213, 131.887295),
(43.023900, 131.897740),
(43.033213, 131.887295),
(43.025406, 131.890331),
(43.030547, 131.888078),
(43.030547, 131.888078),
(43.033253, 131.889419),
(43.023900, 131.897740),
(43.030547, 131.888078),
(43.029108, 131.888108),
(43.033253, 131.889419),
(43.023900, 131.897740),
(43.032170, 131.888947),
(43.033213, 131.887295),
(43.030547, 131.888078),
(43.030547, 131.888078),
(43.032170, 131.888947),
(43.033213, 131.887295),
(43.033253, 131.889419),
(43.033253, 131.889419),
(43.030672, 131.886265),
(43.025406, 131.890331),
