(43.032170, 131.888947), 4
(43.032170, 131.888947), 4
(43.030672, 131.886265), 7
(43.033213, 131.887295), 6
(43.032170, 131.888947), 4
(43.030547, 131.888078), 3
(43.033253, 131.889419), 5
(43.032170, 131.888947), 4
(43.032170, 131.888947), 4
(43.033213, 131.887295), 6
(43.030672, 131.886265), 7
(43.024288, 131.892595), B
(43.033253, 131.889419), 5
(43.030672, 131.886265), 7
(43.030547, 131.888078), 3
(43.030547, 131.888078), 3
(43.032170, 131.888947), 4
(43.024116, 131.894655), C
(43.033213, 131.887295), 6
(43.030547, 131.888078), 3
(43.033213, 131.887295), 6
(43.023900, 131.897740), F
(43.033213, 131.887295), 6
(43.025406, 131.890331), D
(43.030547, 131.888078), 3
(43.030547, 131.888078), 3
(43.033253, 131.889419), 5
(43.023900, 131.897740), F
(43.030547, 131.888078), 3
(43.029108, 131.888108), 2
(43.033253, 131.889419), 5
(43.023900, 131.897740), F
(43.032170, 131.888947), 4
(43.033213, 131.887295), 6
(43.030547, 131.888078), 3
(43.030547, 131.888078), 3
(43.032170, 131.888947), 4
(43.033213, 131.887295), 6
(43.033253, 131.889419), 5
(43.033253, 131.889419), 5
(43.030672, 131.886265), 7
(43.025406, 131.890331), D
